c_setting,epsilon_setting,cv_scores
7.0,0.1,-33.04
7.0,0.11,-33.03
7.0,0.12,-33.01
7.0,0.13,-33.01
7.0,0.13999999999999999,-33.01
7.0,0.14999999999999997,-32.98
7.0,0.15999999999999998,-32.95
7.0,0.16999999999999998,-32.94
7.0,0.17999999999999997,-32.93
7.0,0.18999999999999995,-32.92
7.0,0.19999999999999996,-32.9
7.0,0.20999999999999996,-32.88
7.0,0.21999999999999995,-32.87
7.0,0.22999999999999995,-32.86
7.0,0.23999999999999994,-32.86
7.0,0.24999999999999992,-32.84
7.0,0.2599999999999999,-32.83
7.0,0.2699999999999999,-32.81
7.0,0.2799999999999999,-32.82
7.0,0.2899999999999999,-32.82
7.0,0.29999999999999993,-32.82
7.0,0.30999999999999994,-32.82
7.0,0.3199999999999999,-32.82
7.0,0.32999999999999985,-32.8
7.0,0.33999999999999986,-32.77
7.0,0.34999999999999987,-32.77
7.0,0.3599999999999999,-32.77
7.0,0.3699999999999999,-32.77
7.0,0.3799999999999999,-32.77
7.0,0.3899999999999999,-32.75
7.0,0.3999999999999998,-32.75
7.0,0.4099999999999998,-32.75
7.0,0.4199999999999998,-32.75
7.0,0.4299999999999998,-32.75
7.0,0.43999999999999984,-32.73
7.0,0.44999999999999984,-32.73
7.0,0.45999999999999985,-32.75
7.0,0.46999999999999986,-32.78
7.0,0.47999999999999976,-32.77
7.0,0.48999999999999977,-32.76
7.0,0.4999999999999998,-32.76
7.0,0.5099999999999998,-32.77
7.0,0.5199999999999998,-32.76
7.0,0.5299999999999998,-32.76
7.0,0.5399999999999998,-32.76
7.0,0.5499999999999998,-32.76
7.0,0.5599999999999997,-32.74
7.0,0.5699999999999997,-32.72
7.0,0.5799999999999997,-32.72
7.0,0.5899999999999997,-32.73
7.0,0.5999999999999998,-32.73
7.0,0.6099999999999998,-32.72
7.0,0.6199999999999998,-32.71
7.0,0.6299999999999997,-32.71
7.0,0.6399999999999997,-32.72
7.0,0.6499999999999997,-32.72
7.0,0.6599999999999997,-32.73
7.0,0.6699999999999997,-32.74
7.0,0.6799999999999997,-32.74
7.0,0.6899999999999997,-32.74
7.0,0.6999999999999996,-32.76
7.0,0.7099999999999996,-32.76
7.0,0.7199999999999996,-32.76
7.0,0.7299999999999996,-32.75
7.0,0.7399999999999997,-32.74
7.0,0.7499999999999997,-32.72
7.0,0.7599999999999997,-32.72
7.0,0.7699999999999997,-32.72
7.0,0.7799999999999997,-32.7
7.0,0.7899999999999996,-32.7
7.0,0.7999999999999996,-32.69
7.0,0.8099999999999996,-32.67
7.0,0.8199999999999996,-32.7
7.0,0.8299999999999996,-32.69
7.0,0.8399999999999996,-32.67
7.0,0.8499999999999996,-32.67
7.0,0.8599999999999995,-32.65
7.0,0.8699999999999996,-32.66
7.0,0.8799999999999996,-32.67
7.0,0.8899999999999996,-32.66
7.0,0.8999999999999996,-32.65
7.0,0.9099999999999996,-32.62
7.0,0.9199999999999996,-32.61
7.0,0.9299999999999996,-32.55
7.0,0.9399999999999996,-32.52
7.0,0.9499999999999995,-32.49
7.0,0.9599999999999995,-32.49
7.0,0.9699999999999995,-32.48
7.0,0.9799999999999995,-32.47
7.0,0.9899999999999995,-32.47
7.0,0.9999999999999996,-32.47
7.0,1.0099999999999996,-32.49
7.0,1.0199999999999996,-32.49
7.0,1.0299999999999996,-32.5
7.0,1.0399999999999996,-32.5
7.0,1.0499999999999996,-32.53
7.0,1.0599999999999996,-32.53
7.0,1.0699999999999996,-32.52
7.0,1.0799999999999996,-32.54
7.0,1.0899999999999996,-32.53
7.0,1.0999999999999996,-32.53
7.0,1.1099999999999997,-32.53
7.0,1.1199999999999997,-32.56
7.0,1.1299999999999997,-32.58
7.0,1.1399999999999997,-32.6
7.0,1.1499999999999995,-32.62
7.0,1.1599999999999995,-32.64
7.0,1.1699999999999995,-32.63
7.0,1.1799999999999995,-32.64
7.0,1.1899999999999995,-32.65
7.0,1.1999999999999995,-32.65
7.0,1.2099999999999995,-32.63
7.0,1.2199999999999995,-32.63
7.0,1.2299999999999995,-32.61
7.0,1.2399999999999995,-32.59
7.0,1.2499999999999996,-32.58
7.0,1.2599999999999996,-32.59
7.0,1.2699999999999996,-32.6
7.0,1.2799999999999996,-32.61
7.0,1.2899999999999996,-32.6
7.0,1.2999999999999994,-32.59
7.0,1.3099999999999994,-32.56
7.0,1.3199999999999994,-32.55
7.0,1.3299999999999994,-32.54
7.0,1.3399999999999994,-32.51
7.0,1.3499999999999994,-32.48
7.0,1.3599999999999994,-32.45
7.0,1.3699999999999994,-32.44
7.0,1.3799999999999994,-32.42
7.0,1.3899999999999995,-32.42
7.0,1.3999999999999995,-32.41
7.0,1.4099999999999995,-32.4
7.0,1.4199999999999995,-32.37
7.0,1.4299999999999995,-32.38
7.0,1.4399999999999995,-32.37
7.0,1.4499999999999995,-32.35
7.0,1.4599999999999995,-32.34
7.0,1.4699999999999993,-32.3
7.0,1.4799999999999993,-32.27
7.0,1.4899999999999993,-32.23
7.0,1.4999999999999993,-32.2
7.0,1.5099999999999993,-32.19
7.0,1.5199999999999994,-32.17
7.0,1.5299999999999994,-32.13
7.0,1.5399999999999994,-32.11
7.0,1.5499999999999994,-32.08
7.0,1.5599999999999994,-32.07
7.0,1.5699999999999994,-32.05
7.0,1.5799999999999994,-32.02
7.0,1.5899999999999994,-32.01
7.0,1.5999999999999994,-31.99
7.0,1.6099999999999994,-31.99
7.0,1.6199999999999992,-31.97
7.0,1.6299999999999992,-31.96
7.0,1.6399999999999992,-31.96
7.0,1.6499999999999992,-31.96
7.0,1.6599999999999993,-31.99
7.0,1.6699999999999993,-31.98
7.0,1.6799999999999993,-31.99
7.0,1.6899999999999993,-31.98
7.0,1.6999999999999993,-31.97
7.0,1.7099999999999993,-31.97
7.0,1.7199999999999993,-31.94
7.0,1.7299999999999993,-31.92
7.0,1.7399999999999993,-31.93
7.0,1.7499999999999993,-31.92
7.0,1.7599999999999993,-31.91
7.0,1.7699999999999994,-31.91
7.0,1.7799999999999994,-31.9
7.0,1.7899999999999991,-31.9
7.0,1.7999999999999992,-31.92
7.0,1.8099999999999992,-31.91
7.0,1.8199999999999992,-31.89
7.0,1.8299999999999992,-31.88
7.0,1.8399999999999992,-31.87
7.0,1.8499999999999992,-31.88
7.0,1.8599999999999992,-31.88
7.0,1.8699999999999992,-31.87
7.0,1.8799999999999992,-31.86
7.0,1.8899999999999992,-31.85
7.0,1.8999999999999992,-31.86
7.0,1.9099999999999993,-31.86
7.0,1.9199999999999993,-31.83
7.0,1.9299999999999993,-31.77
7.0,1.939999999999999,-31.76
7.0,1.949999999999999,-31.74
7.0,1.959999999999999,-31.71
7.0,1.969999999999999,-31.69
7.0,1.979999999999999,-31.67
7.0,1.989999999999999,-31.65
7.0,1.9999999999999991,-31.63
7.0,2.009999999999999,-31.61
7.0,2.019999999999999,-31.61
7.0,2.029999999999999,-31.6
7.0,2.039999999999999,-31.6
7.0,2.049999999999999,-31.6
7.0,2.059999999999999,-31.6
7.0,2.069999999999999,-31.58
7.0,2.079999999999999,-31.57
7.0,2.089999999999999,-31.56
7.0,2.099999999999999,-31.58
7.0,2.109999999999999,-31.61
7.0,2.119999999999999,-31.63
7.0,2.129999999999999,-31.64
7.0,2.1399999999999992,-31.64
7.0,2.149999999999999,-31.66
7.0,2.1599999999999993,-31.66
7.0,2.169999999999999,-31.66
7.0,2.1799999999999993,-31.65
7.0,2.189999999999999,-31.64
7.0,2.199999999999999,-31.64
7.0,2.209999999999999,-31.64
7.0,2.219999999999999,-31.63
7.0,2.229999999999999,-31.62
7.0,2.239999999999999,-31.62
7.0,2.249999999999999,-31.62
7.0,2.259999999999999,-31.62
7.0,2.269999999999999,-31.61
7.0,2.279999999999999,-31.62
7.0,2.289999999999999,-31.63
7.0,2.299999999999999,-31.63
7.0,2.309999999999999,-31.63
7.0,2.319999999999999,-31.65
7.0,2.329999999999999,-31.64
7.0,2.339999999999999,-31.66
7.0,2.3499999999999988,-31.66
7.0,2.359999999999999,-31.65
7.0,2.3699999999999988,-31.64
7.0,2.379999999999999,-31.63
7.0,2.389999999999999,-31.62
7.0,2.399999999999999,-31.62
7.0,2.409999999999999,-31.6
7.0,2.419999999999999,-31.58
7.0,2.429999999999999,-31.56
7.0,2.439999999999999,-31.55
7.0,2.449999999999999,-31.55
7.0,2.459999999999999,-31.55
7.0,2.469999999999999,-31.53
7.0,2.479999999999999,-31.54
7.0,2.489999999999999,-31.54
7.0,2.4999999999999987,-31.55
7.0,2.509999999999999,-31.53
7.0,2.5199999999999987,-31.53
7.0,2.529999999999999,-31.52
7.0,2.5399999999999987,-31.51
7.0,2.549999999999999,-31.51
7.0,2.5599999999999987,-31.5
7.0,2.569999999999999,-31.5
7.0,2.5799999999999987,-31.49
7.0,2.589999999999999,-31.47
7.0,2.5999999999999988,-31.49
7.0,2.609999999999999,-31.47
7.0,2.6199999999999988,-31.47
7.0,2.629999999999999,-31.49
7.0,2.639999999999999,-31.48
7.0,2.649999999999999,-31.45
7.0,2.659999999999999,-31.44
7.0,2.6699999999999986,-31.39
7.0,2.679999999999999,-31.4
7.0,2.6899999999999986,-31.37
7.0,2.699999999999999,-31.36
7.0,2.7099999999999986,-31.33
7.0,2.719999999999999,-31.3
7.0,2.7299999999999986,-31.27
7.0,2.739999999999999,-31.24
7.0,2.7499999999999987,-31.24
7.0,2.759999999999999,-31.25
7.0,2.7699999999999987,-31.25
7.0,2.779999999999999,-31.26
7.0,2.7899999999999987,-31.28
7.0,2.799999999999999,-31.27
7.0,2.8099999999999987,-31.26
7.0,2.819999999999999,-31.27
7.0,2.8299999999999987,-31.27
7.0,2.8399999999999985,-31.27
7.0,2.8499999999999988,-31.25
7.0,2.8599999999999985,-31.22
7.0,2.8699999999999988,-31.2
7.0,2.8799999999999986,-31.19
7.0,2.889999999999999,-31.19
7.0,2.8999999999999986,-31.17
7.0,2.909999999999999,-31.16
7.0,2.9199999999999986,-31.17
7.0,2.929999999999999,-31.18
7.0,2.9399999999999986,-31.18
7.0,2.949999999999999,-31.19
7.0,2.9599999999999986,-31.17
7.0,2.969999999999999,-31.18
7.0,2.9799999999999986,-31.18
7.0,2.9899999999999984,-31.16
7.0,2.9999999999999987,-31.12
7.0,3.0099999999999985,-31.08
7.0,3.0199999999999987,-31.08
7.0,3.0299999999999985,-31.08
7.0,3.0399999999999987,-31.05
7.0,3.0499999999999985,-31.05
7.0,3.0599999999999987,-31.06
7.0,3.0699999999999985,-31.05
7.0,3.0799999999999987,-31.06
7.0,3.0899999999999985,-31.07
7.0,3.0999999999999988,-31.06
7.0,3.1099999999999985,-31.06
7.0,3.1199999999999988,-31.06
7.0,3.1299999999999986,-31.07
7.0,3.1399999999999983,-31.06
7.0,3.1499999999999986,-31.06
7.0,3.1599999999999984,-31.07
7.0,3.1699999999999986,-31.08
7.0,3.1799999999999984,-31.09
7.0,3.1899999999999986,-31.09
7.0,3.1999999999999984,-31.09
7.0,3.2099999999999986,-31.08
7.0,3.2199999999999984,-31.09
7.0,3.2299999999999986,-31.08
7.0,3.2399999999999984,-31.07
7.0,3.2499999999999987,-31.07
7.0,3.2599999999999985,-31.05
7.0,3.2699999999999987,-31.04
7.0,3.2799999999999985,-31.03
7.0,3.2899999999999987,-31.01
7.0,3.2999999999999985,-31.01
7.0,3.3099999999999983,-31.0
7.0,3.3199999999999985,-30.99
7.0,3.3299999999999983,-30.98
7.0,3.3399999999999985,-30.98
7.0,3.3499999999999983,-30.98
7.0,3.3599999999999985,-31.0
7.0,3.3699999999999983,-31.05
7.0,3.3799999999999986,-31.07
7.0,3.3899999999999983,-31.08
7.0,3.3999999999999986,-31.08
7.0,3.4099999999999984,-31.07
7.0,3.4199999999999986,-31.06
7.0,3.4299999999999984,-31.05
7.0,3.4399999999999986,-31.04
7.0,3.4499999999999984,-31.03
7.0,3.4599999999999986,-31.01
7.0,3.4699999999999984,-31.0
7.0,3.479999999999998,-30.99
7.0,3.4899999999999984,-31.0
7.0,3.4999999999999982,-31.01
7.0,3.5099999999999985,-31.01
7.0,3.5199999999999982,-31.02
7.0,3.5299999999999985,-31.04
7.0,3.5399999999999983,-31.05
7.0,3.5499999999999985,-31.05
7.0,3.5599999999999983,-31.05
7.0,3.5699999999999985,-31.06
7.0,3.5799999999999983,-31.08
7.0,3.5899999999999985,-31.08
7.0,3.5999999999999983,-31.08
7.0,3.6099999999999985,-31.07
7.0,3.6199999999999983,-31.07
7.0,3.629999999999998,-31.06
7.0,3.6399999999999983,-31.07
7.0,3.649999999999998,-31.07
7.0,3.6599999999999984,-31.08
7.0,3.669999999999998,-31.08
7.0,3.6799999999999984,-31.09
7.0,3.689999999999998,-31.09
7.0,3.6999999999999984,-31.08
7.0,3.709999999999998,-31.07
7.0,3.7199999999999984,-31.05
7.0,3.729999999999998,-31.04
7.0,3.7399999999999984,-31.04
7.0,3.7499999999999982,-31.03
7.0,3.7599999999999985,-31.02
7.0,3.7699999999999982,-30.98
7.0,3.779999999999998,-30.95
7.0,3.7899999999999983,-30.93
7.0,3.799999999999998,-30.93
7.0,3.8099999999999983,-30.93
7.0,3.819999999999998,-30.92
7.0,3.8299999999999983,-30.9
7.0,3.839999999999998,-30.9
7.0,3.8499999999999983,-30.93
7.0,3.859999999999998,-30.95
7.0,3.8699999999999983,-30.96
7.0,3.879999999999998,-30.97
7.0,3.8899999999999983,-30.97
7.0,3.899999999999998,-30.97
7.0,3.9099999999999984,-30.98
7.0,3.919999999999998,-31.0
7.0,3.9299999999999984,-31.02
7.0,3.939999999999998,-31.02
7.0,3.949999999999998,-31.02
7.0,3.959999999999998,-31.03
7.0,3.969999999999998,-31.05
7.0,3.979999999999998,-31.05
7.0,3.989999999999998,-31.05
7.0,3.9999999999999982,-31.06
7.0,4.009999999999998,-31.06
7.0,4.019999999999998,-31.06
7.0,4.029999999999998,-31.07
7.0,4.039999999999998,-31.07
7.0,4.049999999999998,-31.08
7.0,4.059999999999998,-31.1
7.0,4.069999999999998,-31.11
7.0,4.079999999999998,-31.13
7.0,4.089999999999998,-31.14
7.0,4.099999999999998,-31.14
7.0,4.109999999999998,-31.15
7.0,4.119999999999997,-31.16
7.0,4.129999999999997,-31.17
7.0,4.139999999999998,-31.18
7.0,4.149999999999998,-31.17
7.0,4.1599999999999975,-31.17
7.0,4.169999999999997,-31.15
7.0,4.179999999999998,-31.15
7.0,4.189999999999998,-31.14
7.0,4.1999999999999975,-31.13
7.0,4.209999999999997,-31.12
7.0,4.219999999999998,-31.11
7.0,4.229999999999998,-31.11
7.0,4.2399999999999975,-31.1
7.0,4.249999999999997,-31.09
7.0,4.259999999999998,-31.06
7.0,4.269999999999998,-31.04
7.0,4.279999999999998,-31.02
7.0,4.289999999999997,-31.0
7.0,4.299999999999997,-31.01
7.0,4.309999999999998,-31.0
7.0,4.319999999999998,-30.95
7.0,4.329999999999997,-30.92
7.0,4.339999999999997,-30.89
7.0,4.349999999999998,-30.9
7.0,4.359999999999998,-30.9
7.0,4.369999999999997,-30.91
7.0,4.379999999999997,-30.91
7.0,4.389999999999998,-30.91
7.0,4.399999999999998,-30.92
7.0,4.4099999999999975,-30.93
7.0,4.419999999999997,-30.93
7.0,4.429999999999997,-30.92
7.0,4.439999999999998,-30.9
7.0,4.4499999999999975,-30.88
7.0,4.459999999999997,-30.86
7.0,4.469999999999997,-30.83
7.0,4.479999999999998,-30.78
7.0,4.4899999999999975,-30.73
7.0,4.499999999999997,-30.72
7.0,4.509999999999997,-30.72
7.0,4.519999999999998,-30.71
7.0,4.529999999999998,-30.69
7.0,4.539999999999997,-30.67
7.0,4.549999999999997,-30.66
7.0,4.559999999999998,-30.64
7.0,4.569999999999998,-30.64
7.0,4.579999999999997,-30.63
7.0,4.589999999999997,-30.61
7.0,4.599999999999997,-30.59
7.0,4.609999999999998,-30.58
7.0,4.619999999999997,-30.57
7.0,4.629999999999997,-30.56
7.0,4.639999999999997,-30.55
7.0,4.649999999999998,-30.55
7.0,4.6599999999999975,-30.55
7.0,4.669999999999997,-30.54
7.0,4.679999999999997,-30.55
7.0,4.689999999999998,-30.56
7.0,4.6999999999999975,-30.55
7.0,4.709999999999997,-30.54
7.0,4.719999999999997,-30.54
7.0,4.729999999999998,-30.59
7.0,4.7399999999999975,-30.61
7.0,4.749999999999997,-30.64
7.0,4.759999999999997,-30.63
7.0,4.769999999999997,-30.62
7.0,4.779999999999998,-30.6
7.0,4.789999999999997,-30.59
7.0,4.799999999999997,-30.58
7.0,4.809999999999997,-30.57
7.0,4.819999999999998,-30.56
7.0,4.829999999999997,-30.56
7.0,4.839999999999997,-30.56
7.0,4.849999999999997,-30.55
7.0,4.859999999999998,-30.55
7.0,4.869999999999997,-30.56
7.0,4.879999999999997,-30.56
7.0,4.889999999999997,-30.57
7.0,4.899999999999997,-30.58
7.0,4.9099999999999975,-30.59
7.0,4.919999999999997,-30.61
7.0,4.929999999999997,-30.63
7.0,4.939999999999997,-30.65
7.0,4.9499999999999975,-30.66
7.0,4.959999999999997,-30.68
7.0,4.969999999999997,-30.71
7.0,4.979999999999997,-30.74
7.0,4.9899999999999975,-30.77
7.0,4.999999999999997,-30.8
7.0,5.009999999999997,-30.82
7.0,5.019999999999997,-30.84
7.0,5.029999999999998,-30.85
7.0,5.039999999999997,-30.87
7.0,5.049999999999997,-30.87
7.0,5.059999999999997,-30.87
7.0,5.069999999999997,-30.86
7.0,5.079999999999997,-30.85
7.0,5.089999999999997,-30.84
7.0,5.099999999999997,-30.85
7.0,5.109999999999997,-30.86
7.0,5.119999999999997,-30.89
7.0,5.129999999999997,-30.91
7.0,5.139999999999997,-30.93
7.0,5.149999999999997,-30.95
7.0,5.1599999999999975,-30.98
7.0,5.169999999999997,-31.01
7.0,5.179999999999997,-31.04
7.0,5.189999999999997,-31.04
7.0,5.1999999999999975,-31.04
7.0,5.209999999999997,-31.05
7.0,5.219999999999997,-31.06
7.0,5.229999999999997,-31.07
7.0,5.239999999999997,-31.09
7.0,5.249999999999997,-31.1
7.0,5.259999999999997,-31.12
7.0,5.269999999999997,-31.14
7.0,5.279999999999997,-31.15
7.0,5.289999999999997,-31.18
7.0,5.299999999999997,-31.2
7.0,5.309999999999997,-31.23
7.0,5.319999999999997,-31.22
7.0,5.329999999999997,-31.24
7.0,5.339999999999997,-31.26
7.0,5.349999999999997,-31.28
7.0,5.359999999999997,-31.29
7.0,5.369999999999997,-31.29
7.0,5.379999999999997,-31.29
7.0,5.389999999999997,-31.3
7.0,5.399999999999997,-31.29
7.0,5.409999999999997,-31.28
7.0,5.419999999999997,-31.28
7.0,5.429999999999997,-31.29
7.0,5.439999999999997,-31.28
7.0,5.449999999999997,-31.29
7.0,5.459999999999997,-31.3
7.0,5.469999999999997,-31.31
7.0,5.479999999999997,-31.32
7.0,5.489999999999997,-31.33
7.0,5.499999999999997,-31.34
7.0,5.509999999999997,-31.35
7.0,5.519999999999997,-31.37
7.0,5.529999999999997,-31.4
7.0,5.539999999999997,-31.43
7.0,5.549999999999997,-31.46
7.0,5.559999999999997,-31.47
7.0,5.569999999999997,-31.51
7.0,5.5799999999999965,-31.56
7.0,5.589999999999997,-31.6
7.0,5.599999999999997,-31.63
7.0,5.609999999999997,-31.67
7.0,5.6199999999999966,-31.68
7.0,5.629999999999997,-31.69
7.0,5.639999999999997,-31.72
7.0,5.649999999999997,-31.74
7.0,5.659999999999997,-31.76
7.0,5.669999999999997,-31.76
7.0,5.679999999999997,-31.75
7.0,5.689999999999997,-31.74
7.0,5.699999999999997,-31.73
7.0,5.709999999999996,-31.74
7.0,5.719999999999997,-31.75
7.0,5.729999999999997,-31.75
7.0,5.739999999999997,-31.75
7.0,5.7499999999999964,-31.73
7.0,5.759999999999997,-31.69
7.0,5.769999999999997,-31.66
7.0,5.779999999999997,-31.63
7.0,5.7899999999999965,-31.6
7.0,5.799999999999997,-31.59
7.0,5.809999999999997,-31.58
7.0,5.819999999999997,-31.58
7.0,5.8299999999999965,-31.58
7.0,5.839999999999997,-31.58
7.0,5.849999999999997,-31.58
7.0,5.859999999999997,-31.58
7.0,5.8699999999999966,-31.56
7.0,5.879999999999996,-31.55
7.0,5.889999999999997,-31.54
7.0,5.899999999999997,-31.53
7.0,5.909999999999997,-31.53
7.0,5.919999999999996,-31.53
7.0,5.929999999999997,-31.53
7.0,5.939999999999997,-31.53
7.0,5.949999999999997,-31.54
7.0,5.959999999999996,-31.55
7.0,5.969999999999997,-31.57
7.0,5.979999999999997,-31.58
7.0,5.989999999999997,-31.6
7.0,5.9999999999999964,-31.6
7.0,6.009999999999997,-31.61
7.0,6.019999999999997,-31.62
7.0,6.029999999999997,-31.61
7.0,6.0399999999999965,-31.6
7.0,6.049999999999996,-31.61
7.0,6.059999999999997,-31.61
7.0,6.069999999999997,-31.61
7.0,6.0799999999999965,-31.62
7.0,6.089999999999996,-31.61
7.0,6.099999999999997,-31.61
7.0,6.109999999999997,-31.61
7.0,6.1199999999999966,-31.6
7.0,6.129999999999996,-31.58
7.0,6.139999999999997,-31.57
7.0,6.149999999999997,-31.56
7.0,6.159999999999997,-31.54
7.0,6.169999999999996,-31.53
7.0,6.179999999999996,-31.52
7.0,6.189999999999997,-31.5
7.0,6.199999999999997,-31.49
7.0,6.209999999999996,-31.48
7.0,6.219999999999996,-31.46
7.0,6.229999999999997,-31.45
7.0,6.239999999999997,-31.46
7.0,6.2499999999999964,-31.46
7.0,6.259999999999996,-31.46
7.0,6.269999999999997,-31.46
7.0,6.279999999999997,-31.46
7.0,6.2899999999999965,-31.45
7.0,6.299999999999996,-31.44
7.0,6.309999999999997,-31.44
7.0,6.319999999999997,-31.45
7.0,6.3299999999999965,-31.45
7.0,6.339999999999996,-31.46
7.0,6.349999999999996,-31.46
7.0,6.359999999999997,-31.47
7.0,6.3699999999999966,-31.47
7.0,6.379999999999996,-31.48
7.0,6.389999999999996,-31.49
7.0,6.399999999999997,-31.5
7.0,6.409999999999997,-31.5
7.0,6.419999999999996,-31.52
7.0,6.429999999999996,-31.53
7.0,6.439999999999997,-31.55
7.0,6.449999999999997,-31.57
7.0,6.459999999999996,-31.59
7.0,6.469999999999996,-31.62
7.0,6.479999999999997,-31.63
7.0,6.489999999999997,-31.64
7.0,6.4999999999999964,-31.65
7.0,6.509999999999996,-31.66
7.0,6.519999999999996,-31.68
7.0,6.529999999999997,-31.7
7.0,6.5399999999999965,-31.71
7.0,6.549999999999996,-31.71
7.0,6.559999999999996,-31.72
7.0,6.569999999999997,-31.72
7.0,6.5799999999999965,-31.72
7.0,6.589999999999996,-31.73
7.0,6.599999999999996,-31.74
7.0,6.609999999999997,-31.76
7.0,6.6199999999999966,-31.78
7.0,6.629999999999996,-31.81
7.0,6.639999999999996,-31.82
7.0,6.649999999999997,-31.83
7.0,6.659999999999997,-31.85
7.0,6.669999999999996,-31.86
7.0,6.679999999999996,-31.86
7.0,6.689999999999996,-31.87
7.0,6.699999999999997,-31.87
7.0,6.709999999999996,-31.87
7.0,6.719999999999996,-31.88
7.0,6.729999999999996,-31.89
7.0,6.739999999999997,-31.89
7.0,6.7499999999999964,-31.9
7.0,6.759999999999996,-31.91
7.0,6.769999999999996,-31.95
7.0,6.779999999999997,-31.99
7.0,6.7899999999999965,-32.01
7.0,6.799999999999996,-32.04
7.0,6.809999999999996,-32.05
7.0,6.819999999999997,-32.08
7.0,6.8299999999999965,-32.1
7.0,6.839999999999996,-32.11
7.0,6.849999999999996,-32.13
7.0,6.859999999999996,-32.14
7.0,6.8699999999999966,-32.15
7.0,6.879999999999996,-32.16
7.0,6.889999999999996,-32.16
7.0,6.899999999999996,-32.18
7.0,6.909999999999997,-32.2
7.0,6.919999999999996,-32.22
7.0,6.929999999999996,-32.24
7.0,6.939999999999996,-32.26
7.0,6.949999999999997,-32.26
7.0,6.959999999999996,-32.3
7.0,6.969999999999996,-32.3
7.0,6.979999999999996,-32.29
7.0,6.989999999999996,-32.29
7.0,6.9999999999999964,-32.3
7.0,7.009999999999996,-32.31
7.0,7.019999999999996,-32.32
7.0,7.029999999999996,-32.34
7.0,7.0399999999999965,-32.36
7.0,7.049999999999996,-32.41
7.0,7.059999999999996,-32.44
7.0,7.069999999999996,-32.48
7.0,7.0799999999999965,-32.52
7.0,7.089999999999996,-32.53
7.0,7.099999999999996,-32.54
7.0,7.109999999999996,-32.57
7.0,7.1199999999999966,-32.6
7.0,7.129999999999996,-32.64
